PSMS_APPLY		购置申请业务主表
PSMS_APPLY_ACCOUNT	申购经费帐号表（为了支持多经费）
PSMS_TENDER_BID_QUAL	报名报价资质
PSMS_TENDER_BID_SCORE	常规采购评标表
PSMS_TENDER_BID_TECH	供应商报名技术要求响应情况
PSMS_TENDER_ITEM	项目物资关系对应表
PSMS_TENDER_LOG	采购执行项目日志表
PSMS_TENDER_PERSON	评标会与会人员
PSMS_TENDER_PROVIDER	采购项目邀请（推荐）供应商表
PSMS_TENDER_PUBLISH	PSMS_TENDER_PUBLISH
contract	合同信息（已生效合同）
contract_apply	合同业务申请表
contract_execute_pay	合同执行收付款
contract_execute_plan	合同付款计划
contract_purchase 采购合同数据
contract_purchase_item	采购合同物质
ACCEPT_LIST_DETAIL_RECYCLED	
ACCEPTANCE_ACCESSORY	配、附件列表
ACCEPTANCE_LIST_RECYCLED	
ACCEPTANCE_TECHNICAL_INDICATOR	技术指标列表
ACCEPTANCE_TECHNICAL_INFO	技术资料列表
AREA	
ASSETS_ACCEPT_LIST_DETAIL	设备-建帐申请-设备列表-详情
ASSETS_ACCEPT_LIST_DETAIL_DEL	
ASSETS_ACCEPTANCE	设备验收表
ASSETS_ACCEPTANCE_EXPERT	验收专家
ASSETS_ACCEPTANCE_LIST	
ASSETS_ACCEPTANCE_OUTLAY	资产验收-经费卡子表
ASSETS_ACCEPTANCE_PAY	在建工程付款表
ASSETS_ACCEPTANCE_PAY_RECORD	验收建账业务 付款明细
ASSETS_ACCEPTANCE_REVISE	验收建账修订表
ASSETS_ADJUST_ORDER	
ASSETS_CHANGE	资产变动业务表
ASSETS_CHANGE_LIST	资产变动业务资产列表
ASSETS_CHANGE_OUTLAY	变动业务-经费卡子表
ASSETS_CHECK_LIST	
ASSETS_CHECK_LOG	自查、账目整理、退回日志
ASSETS_CHECK_PLAN	
ASSETS_CHECK_TASK	
ASSETS_DEP	仪器设备-人员建账权限记录
ASSETS_DEP_BELONG	校内单位设备归属配置
ASSETS_DEP_REQUEST	单位建账权限申请
ASSETS_DROP	
ASSETS_DROP_COLLECTION	
ASSETS_DROP_COLLECTION_ASSETS	处置汇总按资产明细汇总表
ASSETS_DROP_COLLECTION_BPM	
ASSETS_DROP_COLLECTION_SALE	
ASSETS_FINANCE	
ASSETS_GGJREPORT_ZZ_DATA	
ASSETS_MERGE	设备业务合并信息列表
ASSETS_OUTLAY_SOURCE	
ASSETS_PUBLIC_EXCEPT	
ASSETS_REPAIR_COST	
ASSETS_REPAIR_OLD	
ASSETS_REPORT_ROW	资产报表行定义
ASSETS_ROLE_BELONG	
ASSETS_ROLE_TYPE	
ASSETS_ROOM	资产-常用存放房间
ASSETS_SCRAP_EXPERTS	
ASSETS_SERVICE_EFFICIENCY	
ASSETS_SNAPSHOT	资产
ASSETS_SNAPSHOT_IMPORT	
ASSETS_SNAPSHOT_INDEX	快照索引表
ASSETS_SNAPSHOT_LOG	
ASSETS_SPECIAL_CHECK_LOG	
ASSETS_SPECIAL_EQUIPMENT	
ASSETS_SWAP	
ASSETS_SWAP_LIST	
ASSETS_WORK	资产-变动记录表
ASSETS_WORKING	资产-办理业务中
CHECK_WRONG_INDEX	查错索引表
CHECK_WRONG_RESULT	查错结果表，差错表
CHECK_WRONG_RULES	查错规则表
CODE_TEMP	
CSB111	
DEPRECIATION_INDEX	折旧索引表，记录每月折旧统计信息
DEPRECIATION_LOG	资产折旧日志表
EQUIPMENT_PUBLIC_EXCEPT	
FINANCE_SORT_MAPPING	
FINANCE_STOCK_INFO	财务入账信息
FIX_IMPORT	
GGJREPORT_CZ_DATA	
GGJREPORT_DATA	
JYB_GZ_BH	
JYBJK_ASSETCARD	卡片表字段定义
JYBJK_ASSETCARD_16	卡片表字段定义
JYBJK_ASSETCARD_REQUIRED	资产卡片分类必填
JYBJK_ASSETCARD_REQUIRED_16	资产卡片分类必填
JYBJK_CHECK_ERROR_CONFIG	
JYBJK_CONFIG	教育部接口配置
JYBJK_CONFIG_CODE	
JYBJK_CONFIG_DEP	不上报教育部单位
JYBJK_CONFIG_HCODE	
JYBJK_DICTIONARY	久其数据字典清单
JYBJK_DICTIONARY_REQUIRED	
JYBJK_DZF	DZF包数据
JYBJK_DZF_CONFIG	教育部接口配置
JYBJK_DZF_CONFIG_CODE	
JYBJK_DZF_CONFIG_DEP	不上报教育部单位
JYBJK_DZF_CONFIG_HCODE	
JYBJK_DZF_EQUIPMENT	
JYBJK_DZF_ERROR	
JYBJK_DZF_ERROR_LIST	
JYBJK_DZF_TABLE	上报表列表
JYBJK_GAMS_ASSETCARD	卡片表
JYBJK_GAMS_ASSETCHANGE	卡片变动表
JYBJK_GAMS_ASSETDROP	处置上报
JYBJK_REPORTED_CODE	已上报资产编号
JYBJK_SORT	资产分类（本地）GAMS_JC_ASSETCLASS
JYBJK_SORT_16	资产分类（本地）GAMS_JC_ASSETCLASS
JYBJK_UNIVERSITY_INFO	
LARGE_REPORT_LIST	
LARGE_REPORT_PLAN	
LARGE_REPORT_TASK	
MATERIAL_CHANGE	耗材变动业务记录
MATERIAL_CHANGE_LIST	耗材变动业务 耗材列表
MATERIAL_CHECK_LIST	
MATERIAL_CHECK_LOG	自查、账目整理、退回日志
MATERIAL_CHECK_PLAN	危化品清查计划
MATERIAL_CHECK_TASK	危化品盘点清查#任务
MATERIAL_RECYCLE	废物液回收业务表
MATERIAL_RECYCLE_LIST	废物液回收数据表
MATERIAL_WAREHOUSE_MANAGER	耗材试剂库房-库管员映射表
MATERIAL_WORK	耗材变动
MERGE_MAPPING	合并业务业务号对应
PROCESSDY	
STANDARD_SORT_COMMON	
STATEDY	
WORK_STATEDY	
business_process_instance	业务记录表
business_todo_instance_actor	待办业务处理人
business_todo_instance	待办业务记录表
wf_hist_task	历史任务表
wf_hist_task_actor	业务历史审批人
wf_task	业务当前审批节点记录
wf_task_actor	任务参与者表
WF_HIST_ORDER	历史业务记录
MESSAGE_WEIXIN	系统-消息-微信消息队列


